"plz","size","inhabitants","sqm","physicians","neurologists"
338,217.492257615662,73038,335.818850752231,181.8,6.8
341,108.101403744976,190795,1764.96320482672,315.3,14.4
342,560.641910688603,168745,300.985346944078,211.3,6.8
343,1166.8394646094,138796,118.950381958894,141.5,5.1
269,875.238141946315,87160,99.5843254798946,129.2,5.6
272,1183.43456240084,112598,95.1451001832938,153.7,6.6
273,1774.81345156263,147107,82.8858942163639,151.2,7.3
351,511.208468832046,35132,68.7234311283336,211.3,6.8
352,660.900059917554,98052,148.361312014757,215,6
353,553.280237193082,121509,219.615651946007,215,6
281,42.1695568904938,44002,1043.45417036903,253.2,11.1
282,91.1239326625245,260345,2857.04306643768,NA,NA
283,112.73610497874,141811,1257.90224903321,NA,NA
287,204.725046100345,116153,567.360966391324,NA,NA
288,629.468971634031,168937,268.380186495068,172.9,6.4
292,182.128509195177,69081,379.298113761914,152.2,5
293,2197.42065205445,147138,66.9594143763213,173,5.7
294,1804.8845682139,80378,44.5335958961307,171.6,8.3
295,1376.21672648837,88867,64.5734049656249,171.4,7.5
296,1790.85326236753,133423,74.5024747720611,149.5,6.5
301,39.5959061312721,177701,4487.86294751959,192.4,9
304,56.4969922565597,156264,2765.88175332213,192.4,9
305,52.4533886757362,72785,1387.61292335091,192.4,9
356,510.502790106348,114997,225.262236032136,215,6
306,56.4675403730197,99875,1768.71525375879,192.4,9
308,287.940806038444,182229,632.869659938612,192.4,9
552,668.400146739571,224469,335.830267385414,129.2,3.1
554,866.24449047237,130263,150.376714002494,144.7,5.8
555,598.312059676693,129322,216.144732349004,139.7,5.2
556,242.772748263424,26304,108.348240023458,151.1,5.7
557,694.434751472829,77610,111.759959932012,140,8.7
560,105.655405173599,107868,1020.94161508127,261.8,12.3
561,210.217945360355,79593,378.621339218029,175.7,6
309,674.822922967682,186527,276.408808372582,192.4,9
310,585.662764945056,76623,130.831264315034,163,6.5
311,792.338509810294,219163,276.602736439597,193,7.1
312,495.655055690564,134415,271.186581185434,138,5.2
313,354.458817599457,71888,202.810584560586,209.4,8
315,970.732521793635,173044,178.261257467983,126,4.1
562,862.055710385524,137413,159.401530950415,175.7,6
316,1065.09265168304,118315,111.084232731341,150.7,3.8
317,370.191474402688,106423,287.480958797649,164.5,8.1
563,813.060999633037,105928,130.282967757412,147.1,6.5
564,531.14601634792,112077,211.00977236095,134.8,5.5
565,241.497268796584,103499,428.572134648771,142,5
318,838.50758419211,120643,143.87824543798,193,7.1
320,79.1719321531442,65358,825.519830355743,142.3,4.8
321,205.504571603573,107554,523.36548603637,181.8,6.8
611,319.22311809911,145020,454.290406232343,223.2,6.4
344,1246.26686165256,134057,107.566849544759,144.7,5.6
345,1237.61559322333,118431,95.6928796376509,160.2,4.5
346,519.927352590308,50680,97.4751563800392,139.4,5
350,755.19955395512,159143,210.729732514457,221.8,6.9
354,596.106172265393,153059,256.764662272037,223.9,6.4
355,228.833018905714,84670,370.007791729071,223.2,6.4
357,758.555061267521,131027,172.732352192151,162.1,5.5
360,253.956158453453,96378,379.506449408136,168.2,5.9
405,55.5313484317778,156421,2816.80536160883,235.2,10.5
406,129.717311164298,155945,1202.19112314533,235.2,10.5
407,92.5757955201418,151457,1636.03238998953,235.2,10.5
408,130.278854425368,125047,959.841108148792,159.9,6
410,49.7850394491766,116655,2343.17379860848,222.7,11.1
411,89.5536791838332,62451,697.358283536318,NA,NA
412,31.2907311775334,76195,2435.06614043931,NA,NA
413,387.407301195433,145242,374.907750968613,227.6,8.9
414,99.5059125070123,150586,1513.33720988075,156.9,6.2
361,1486.57881459532,157090,105.672163801664,188.7,5.8
362,1022.60725246767,101694,99.4458036109173,161.8,5.8
363,1271.58616719917,104476,82.161950715555,151.2,4.7
423,84.7780044668713,97425,1149.17779219574,NA,NA
424,137.016485868581,59025,430.78757731835,248.2,8.6
477,5.09994966815936,47190,9253.03249454057,247.5,11.5
364,696.882643657736,78108,112.081999330667,118.8,4
370,117.015338066953,115865,990.169339456211,223.8,10.7
371,1413.33617982672,170733,120.801407645938,157.1,4.5
372,912.285404841668,94610,103.706580745332,134.5,3
373,943.522551330462,102407,108.536886432228,151,6
374,508.890347021093,54482,107.060391927107,228.1,8.3
375,873.720915030318,91654,104.90077371768,228.1,8.3
376,907.053062038486,113753,125.409421742488,134.2,3.5
381,848.400670573218,335282,395.192992685247,240.7,10.9
382,372.756327215759,122595,328.887777481077,194.2,8.6
383,667.704425375096,129502,193.951088353577,132.5,4.3
384,1126.88297593251,170391,151.205585352818,203.4,9.7
385,570.377454392948,111210,194.976149817073,123.9,5.7
386,397.768073678981,98287,247.096251569256,151.9,8.7
387,482.326885592712,40272,83.4952419260464,198.2,7.6
388,1378.82825312269,150045,108.820659614558,153,8.8
391,660.022567259368,280898,425.588478233981,215.1,10.9
392,1775.04080539776,136232,76.7486581636484,137.1,5.5
393,2329.77256546255,155997,66.9580380130489,131.5,4.1
394,405.340474724397,51632,127.379334706474,188,8.1
395,1475.82300373627,87961,59.6013206036992,144,10.6
396,2374.04504853204,79742,33.5890846086966,126.7,4.7
402,42.687043480707,225520,5283.10188785801,235.2,10.5
404,78.7311313995808,146516,1860.96652487303,235.2,10.5
478,200.415491885875,225961,1127.46274189558,NA,NA
479,144.116533111346,79703,553.045499217085,227.6,8.9
481,303.318161372163,289790,955.39943499933,319.2,13.1
482,664.843434332449,172463,259.403930450431,159.7,5.4
483,929.109580571063,152387,164.014022873747,214.2,7.2
415,285.346043444905,178411,625.244344887677,227.6,8.9
417,91.1032682419783,75005,823.296479340128,148.6,6
418,305.114321924406,126836,415.699922573364,205.8,6.7
421,42.9731415246475,121105,2818.15561309474,213.8,10.2
422,41.5925159316438,124390,2990.68227092662,NA,NA
425,102.74380584355,106952,1040.95813000015,227.6,8.9
426,80.6263864135357,131140,1626.51466639442,211.6,11.3
427,70.2781743655798,81413,1158.43931255951,227.6,8.9
428,74.0238549845112,110517,1492.99168522262,227,12.7
429,74.8781223454226,35018,467.666641511888,248.2,8.6
448,95.9015992899029,246099,2566.16158460572,NA,NA
484,976.252574368328,182435,186.872746653746,142.8,4.4
485,340.397185405422,131113,385.176510328195,154.5,6.3
486,757.279080861769,143870,189.982799784036,176.9,5.9
487,480.905809143677,80565,167.527608251308,214.2,7.2
490,119.763173680714,153924,1285.23648187846,303,16.4
491,730.461454568985,164438,225.115232256886,228.1,9.5
492,131.012707419524,34498,263.317968764143,228.1,9.5
493,538.186968056469,117324,217.998589641973,139.3,3.7
494,1434.67796600504,183792,128.106797730909,169.3,10.7
441,50.6184591256783,171274,3383.62729641278,164.2,5.8
442,90.2771075829483,163606,1812.26453062506,NA,NA
443,139.940867090268,236489,1689.92092815499,NA,NA
445,110.933496830279,160856,1450.02190137483,183.3,6.6
446,51.5109511578861,155039,3009.82599845206,166.1,10.9
447,49.7605732980666,116474,2340.68846639525,199.4,10.1
495,1048.86106219655,148800,141.868170497606,154.4,5.9
496,1200.59111402,134773,112.255536815305,126.2,3.6
497,1469.33511005738,136181,92.6820567124962,143.1,6.2
498,1049.79994116494,122906,117.075640015386,166.1,5.7
501,356.775262508696,166088,465.525549143004,248.2,8.6
502,117.522906618114,102695,873.829646961538,248.2,8.6
503,230.562200888138,182921,793.369421767221,162,6
506,16.5614685625131,121677,7346.99338652952,271.8,10
507,98.5935197424047,189226,1919.2539275846,271.8,10
508,44.6306296807834,146648,3285.81516884003,271.8,10
509,76.037135543251,189938,2497.96364162036,271.8,10
451,65.5766192990407,233299,3557.65519012373,172.8,8.4
452,84.2700261245261,131871,1564.86245542554,NA,NA
453,60.5299251130064,201288,3325.42952306988,NA,NA
454,91.2777270331207,166948,1829.01136374071,162.9,5.3
455,119.634041649034,79998,668.689270188558,195.8,7.9
456,85.4040283008802,148496,1738.74702346411,158.4,6.8
457,417.026453823417,245610,588.955443349404,183.3,6.6
458,104.893170373705,258891,2468.13971851212,154.8,5.4
459,35.9274878606477,74097,2062.40414824996,183.3,6.6
460,21.5960414668721,87235,4039.39768933195,155.1,4.7
461,55.5103623166888,122361,2204.29114301084,NA,NA
462,271.836883489706,194438,715.274533403643,155.1,8.5
463,500.031938948509,154095,308.170314728371,145.2,5.4
464,599.105930920488,168581,281.387633303823,147.6,4.3
465,450.69171279219,166432,369.281252075607,176.9,6
510,51.8814990805993,144852,2791.97792212921,271.8,10
511,117.242219721151,213660,1822.3810544373,271.8,10
513,106.28547357662,177099,1666.25780589227,261,12.2
514,151.99946900834,135734,892.9899616462,180,7.1
515,610.30208024018,148063,242.606087696327,175.7,6
516,266.983888703758,97129,363.800978671687,141.8,7.3
517,241.76293300198,73201,302.780079191877,248.2,8.6
520,160.930337379714,236435,1469.17606617659,212.8,8.5
522,174.153917751654,110945,637.051416541826,205.8,6.7
523,636.651721860786,185579,291.492182660867,156.7,6.5
524,363.949643661979,146373,402.179264491724,205.8,6.7
525,322.62460263778,121665,377.11011189248,146.2,4
531,108.063711634209,241228,2232.27572283049,331.2,14.1
532,33.0031665162769,64530,1955.26692774084,NA,NA
533,271.725819970546,138452,509.528317975111,254.7,8.4
534,195.183096119042,72009,368.930514126498,151.3,7.8
535,771.43928411716,99477,128.949875963138,175.7,6
536,130.893287643233,69035,527.414363585733,254.7,8.4
537,299.29774537715,186001,621.458072681494,164.9,5.3
538,563.903767505247,235472,417.574794794768,152,5.2
539,1035.45402002566,123657,119.422975437322,205.8,6.7
612,439.245443718454,112907,257.047629325828,192.8,6.8
613,115.628435914158,84469,730.520994530357,223.2,6.4
614,121.423555496191,92921,765.263375959328,223.2,6.4
551,98.0556217134868,200379,2043.52383370223,255.7,8.8
566,190.226535248244,59724,313.962507502229,175.7,6
567,606.109580348462,85953,141.810990597747,138.1,5.6
568,619.381189571678,53300,86.0536304579392,136.2,3.2
570,114.691209409829,99246,865.332229999963,150.4,5.8
572,535.803869713856,136512,254.779794839675,170.8,5.3
573,1074.04745753327,105634,98.3513337879931,170.8,5.3
574,428.283037554276,98092,229.035454124351,140.9,4.5
575,375.167139605607,95688,255.054320857076,175.7,6
576,431.328513265046,62248,144.316914105211,136.7,2.3
580,116.858251377171,134267,1148.97320829011,169.4,6.4
581,43.2726177722002,53758,1242.30986632235,NA,NA
582,140.621382606908,108506,771.618071081811,173.7,8.3
583,132.995906135063,88228,663.38884078432,195.8,7.9
584,72.4007934996312,96364,1330.97988767887,195.8,7.9
585,389.940678506559,138737,355.790015371958,195.8,7.9
586,193.559930966938,129933,671.280462598397,195.8,7.9
587,273.934476854064,130498,476.383993350066,139.8,5.3
588,284.990441494176,57693,202.438368450259,195.8,7.9
590,226.497619916357,176181,777.84923331672,146.8,4.5
591,123.946721251899,110878,894.561783321893,183,5.8
592,234.54891235555,88536,377.473504826104,214.2,7.2
593,833.605676467233,177517,212.950805172423,214.2,7.2
594,324.20896254473,165304,509.86869302601,154.1,6.3
595,858.180251540385,175318,204.290415312301,142.9,5.6
596,231.944564497091,21108,91.0045037949777,165.1,5.3
597,99.4365960934069,46262,465.241187022766,165.1,5.3
598,619.392871769769,96630,156.007607455834,165.1,5.3
599,790.863699026314,79839,100.951655890004,139.9,5
603,56.6907238906369,235507,4154.24224348097,251.7,8.6
604,74.6654184876507,218592,2927.62036867381,NA,NA
605,79.7524165303209,110229,1382.1399375164,NA,NA
630,44.7908666905672,113241,2528.21631656099,292.1,10.3
631,140.108109623019,143310,1022.85299819972,137.9,4.3
632,53.3199282421883,69640,1306.07827684394,223.2,6.4
633,98.3520853154875,76583,778.661680170197,223.2,6.4
644,71.7922719941458,19625,273.358112995787,183.9,5.9
634,138.432052594189,142915,1032.38373860534,223.2,6.4
635,452.050827113919,177203,391.997955476242,144.4,4.3
636,1067.56247533435,148036,138.667294346063,163.8,5.6
637,291.821100840813,161529,553.520631423132,268.8,14.3
638,712.698477697059,142497,199.940093123884,100,1.1
639,348.498214096805,54871,157.449874290484,136.2,3.9
642,122.254192859024,143607,1174.65909873209,288.8,12
643,362.021905628861,171103,472.631620737923,183.9,5.9
645,293.49672256109,123121,419.497018316357,150.7,5.2
646,320.568237804678,133919,417.755049337098,153.7,4.5
656,238.625350908796,52779,221.179349968446,175.7,6
647,529.226261114337,79880,150.937332232541,141.8,6.2
648,306.128450784301,99771,325.912210199302,123.3,4.4
651,70.2650928158023,163943,2333.20690872453,282.8,9
652,202.187965699934,125355,619.99238958682,223.2,6.4
653,545.464345542596,99254,181.962397379554,145.2,4.3
654,182.27984334009,147950,811.664072609287,183.9,5.9
655,576.663980572548,162480,281.758537855407,154.1,5.8
657,115.936077005261,110469,952.844040039301,153.6,3.8
678,356.004098567823,28202,79.2181890979753,123.8,4
658,63.8231362746808,76831,1203.81110181324,223.2,6.4
659,37.4941798496351,103959,2772.67032955281,NA,NA
661,167.522499950836,175780,1049.29188647249,234.4,14.2
662,127.300047565292,84858,666.598336944664,214.8,9.3
663,231.575970322781,121269,523.668322887603,165,5.1
664,457.715441467403,141732,309.650903508122,185.75,10.05
665,321.703404616405,144506,449.190148212161,147.8,6.8
666,871.774039083242,164382,188.560329432228,137.3,4.45
667,424.957021780121,157202,369.924467517891,141.8,7.7
668,679.896055605457,143013,210.345388564793,149.8,5.7
669,745.811003611367,124475,166.898851582059,168.25,5.4
670,187.040356964389,175834,940.085887632676,190.3,7.75
671,258.529278109503,114688,443.617066657428,106.1,2
672,366.895828025811,135606,369.603548586713,188,8.3
673,362.511362274818,124175,342.540987462522,292.6,13.7
674,444.341594426589,116798,262.856328250621,215.5,9.4
675,333.433780066753,126519,379.442658673248,173.3,7.2
676,369.362881180166,133615,361.744524986056,215.7,14
677,541.1599062426,56939,105.216590037759,139.1,2.8
681,45.5186296191387,142276,3125.66527574413,245.8,11
682,43.779949131564,64827,1480.74635274671,NA,NA
683,55.7842998096289,83003,1487.92761194921,NA,NA
685,99.3811904529257,77203,776.837142402406,247.3,8.7
706,10.9528931342551,24411,2228.72620966737,235,11.9
686,166.672174718175,58866,353.184327855182,183.9,5.9
687,208.293471844317,138468,664.773594553621,247.3,8.7
711,250.773869693012,106799,425.877704605904,195.1,7.4
712,252.29502983275,141984,562.76970693447,144.5,5.9
713,128.019733453863,130003,1015.49188154537,195.1,7.4
714,21.2106574682486,19148,902.753723153736,195.1,7.4
715,374.290737980505,106777,285.278232039932,147.3,5.2
716,188.449889180166,191201,1014.59863325897,158.3,6.3
688,19.3936059075902,11880,612.573033432141,247.3,8.7
691,236.802872336356,238718,1008.08743426441,402.9,18.1
692,207.773564014207,109854,528.71981342385,247.3,8.7
694,492.207175430941,106909,217.203253703887,183.9,5.9
695,71.5906114767335,34467,481.44581096645,183.9,5.9
701,47.5029815085972,194737,4099.46899785135,235,11.9
703,48.0615365390275,135030,2809.52315975898,235,11.9
704,40.1476542867378,114229,2845.22226838378,235,11.9
705,64.1873776619514,117384,1828.77076889187,235,11.9
707,92.691967637956,123894,1336.62067120978,235,11.9
708,52.2107312082378,68217,1306.57047739712,235,11.9
721,768.95503575083,191533,249.082184386739,202.4,5.9
722,881.141119960884,131375,149.096435319954,137.1,6
723,465.680585900098,90140,193.566153988944,142.4,3.7
724,606.277972586961,119939,197.828397901751,143.6,4.6
725,974.873747471146,116875,119.887319053547,202.4,5.9
726,181.526078464823,110467,608.546171074847,195.1,7.4
710,194.025616263761,157240,810.408455480671,195.1,7.4
717,216.353210292585,101410,468.724267427594,176.5,6.8
720,107.998178525005,82543,764.299927344503,223.3,7.5
727,117.955975955223,127210,1078.45320230566,169.7,5.9
728,310.874920538779,56874,182.948177039921,202.4,5.9
730,235.080356170907,153096,651.249651368986,135.8,5.9
732,258.645540175841,146814,567.626257542227,195.1,7.4
733,286.87568679839,58829,205.06791863942,200,8.7
734,1087.7566349954,176475,162.23757623942,146,6.1
735,445.969388601078,132716,297.589931937492,195.1,7.4
736,297.423439602537,115864,389.559074949961,195.1,7.4
737,117.887424400334,163908,1390.37730982556,152.3,6.9
740,100.312883713444,116038,1156.76068421557,230.2,12.8
741,221.389780984748,96490,435.837641515385,176.5,6.8
742,471.193209839592,99267,210.671541794487,176.5,6.8
767,436.805397206882,119402,273.352849492032,138.5,6.2
768,868.510491584712,160133,184.37658675581,206.65,10.6
776,154.316539991411,90817,588.511121394082,246.3,8.8
777,1113.62161004813,152188,136.660422738584,162.2,7.7
778,476.085258710699,119031,250.020343671954,246.3,8.8
779,402.38611968723,106511,264.698494279051,246.3,8.8
780,349.856258982108,117174,334.920405142709,162,5.9
781,897.049557205098,103726,115.630178028486,154.4,7.1
743,402.943622266056,180931,449.023113909803,129.1,5
744,350.819499004285,35865,102.232059796545,176.5,6.8
745,1187.79210293692,155789,131.158474294279,147.3,5.7
746,641.924300117523,97250,151.49761425482,130.2,5.4
747,632.973299510567,61831,97.6834252689797,133.2,3.5
748,556.629951057492,115507,207.51129144337,247.3,8.7
749,321.343269389187,69928,217.611528422301,168.5,6
750,305.5328555677,84618,276.952211384187,200.5,6.3
751,123.138697792878,126135,1024.33274235336,240.6,11.3
